"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Autonomo/in conto proprio";"42,4";"57,1";"41,3";"41,6";"50,9";"28,5";"36,0";"61,3"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" "
"Provincia di residenza";"71,4";"62,9";"74,2";"73,5";"70,8";"70,0";"61,8";"90,3"
"Sede degli studi";"69,2";"56,4";"73,2";"67,3";"66,5";"66,9";"64,5";"74,2"
"Italia settentrionale";"52,2";"50,7";"54,0";"44,2";"46,0";"56,2";"51,6";"54,8"
"Italia centrale";"51,1";"48,6";"52,6";"49,6";"42,9";"54,6";"51,1";"51,6"
"Italia meridionale";"51,0";"46,4";"53,0";"54,9";"44,1";"48,5";"50,0";"54,8"
"Stato europeo";"56,2";"62,9";"55,4";"48,7";"52,8";"60,0";"57,5";"71,0"
"Stato extraeuropeo";"43,4";"52,1";"41,9";"38,1";"45,3";"45,4";"43,0";"51,6"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, anche con trasferimenti di residenza";"51,3";"47,1";"53,8";"44,2";"41,0";"56,2";"53,2";"48,4"
"Sì, anche frequenti (senza cambi di residenza)";"36,4";"38,6";"34,8";"38,9";"40,4";"36,2";"36,6";"41,9"
"Sì, ma solo in numero limitato";"10,0";"8,6";"9,7";"14,2";"14,9";"6,2";"8,6";"9,7"
"Non disponibili a trasferte";"0,9";"1,4";"0,6";"2,7";"2,5";"0,8";"-";"-"
