"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno precedenti esperienze universitarie (%) ";"35,7";"11,4";"38,2";"36,3";"42,9";"34,6";"42,5";"-"
"Portate a termine";"32,3";"1,4";"35,7";"32,7";"39,8";"31,5";"38,7";"-"
"Non portate a termine";"3,4";"10,0";"2,5";"3,5";"3,1";"3,1";"3,8";"-"
"Nessuna precedente esperienza universitaria";"64,0";"88,6";"61,6";"63,7";"55,9";"65,4";"57,5";"96,8"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" "
"Fattori sia culturali sia professionalizzanti";"56,3";"37,9";"57,5";"68,1";"53,4";"61,5";"52,7";"77,4"
"Fattori prevalentemente culturali";"17,7";"48,6";"14,7";"8,8";"18,6";"15,4";"15,1";"16,1"
"Fattori prevalentemente professionalizzanti";"15,6";"3,6";"17,1";"15,0";"19,3";"10,0";"21,0";"3,2"
"Né gli uni né gli altri";"10,1";"7,9";"10,7";"8,0";"8,7";"13,1";"10,8";"3,2"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"87,9";"94,5";"88,3";"83,9";"81,2";"85,7";"89,5";"96,9"
"2 o più anni di ritardo";"12,1";"5,5";"11,7";"16,1";"18,8";"14,3";"10,5";"3,1"
"Punteggio degli esami (medie, in 30-mi) ";"26,1";"26,7";"26,0";"26,1";"26,1";"26,2";"25,8";"27,0"
"Voto di laurea (medie, in 110-mi) ";"103,4";"106,9";"103,1";"102,9";"103,2";"103,4";"102,3";"107,5"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" "
"In corso";"22,8";"13,8";"24,5";"20,3";"17,6";"19,5";"30,0";"21,9"
"1° anno fuori corso";"26,9";"23,4";"26,4";"30,5";"32,7";"18,8";"30,5";"28,1"
"2° anno fuori corso";"19,8";"26,2";"19,9";"12,7";"17,6";"24,1";"19,5";"12,5"
"3° anno fuori corso";"10,9";"15,9";"9,9";"12,7";"9,1";"15,0";"9,5";"9,4"
"4° anno fuori corso";"5,8";"8,3";"5,0";"7,6";"8,5";"4,5";"4,7";"6,3"
"5° anno fuori corso e oltre";"13,8";"12,4";"14,3";"16,1";"14,5";"18,0";"5,8";"21,9"
"Durata degli studi (medie, in anni) ";"5,4";"6,8";"5,4";"5,2";"5,1";"5,5";"4,3";"7,6"
"Ritardo alla laurea (medie, in anni) ";"2,0";"1,9";"2,0";"2,0";"2,0";"2,3";"1,3";"2,2"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,61";"0,42";"0,63";"0,73";"0,65";"0,78";"0,47";"0,45"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
